claim_number,age_of_driver,gender,marital_status,safety_rating,annual_income,high_education,address_change,property_status,zip_code,claim_date,claim_day_of_week,accident_site,past_num_of_claims,witness_present,liab_prct,channel,police_report,age_of_vehicle,vehicle_category,vehicle_price,vehicle_color,total_claim,injury_claim,policy deductible,annual premium,days open,form defects,fraud reported
CLM1000,69,M,0,94,123694,1,0,Own,86820,2023-09-07,Thursday,Highway,1,0,82,Online,0,6,Medium,42194,Red,22962,12240,500,630,22,4,N
CLM1001,47,M,0,39,87969,0,0,Own,15311,2022-10-04,Tuesday,Parking Lot,0,0,75,Online,1,9,Compact,33693,Red,7396,2336,1500,974,59,9,Y
CLM1002,77,M,0,81,79150,1,1,Rent,75725,2023-11-18,Saturday,Highway,5,0,50,Phone,0,11,Compact,61886,Red,2267,898,500,1146,21,8,Y
CLM1003,21,F,1,90,128859,1,0,Rent,83969,2022-12-12,Monday,Parking Lot,4,0,1,Phone,0,3,Medium,28483,Silver,49555,17224,1500,534,78,0,Y
CLM1004,21,M,0,3,86557,0,0,Rent,87189,2023-07-20,Thursday,Highway,1,0,3,Broker,1,5,Large,14692,Red,46758,24367,1500,2079,34,9,N
CLM1005,31,M,1,96,147791,1,0,Rent,21534,2023-04-01,Saturday,Parking Lot,5,0,86,Online,0,11,Medium,6016,Black,25253,6633,1000,837,53,7,N
CLM1006,77,F,1,42,58044,1,0,Rent,61214,2022-03-06,Sunday,Highway,0,0,70,Broker,1,8,Large,67592,Silver,3027,746,500,1662,81,7,N
CLM1007,50,M,1,6,23561,0,1,Rent,36854,2022-02-10,Thursday,Parking Lot,3,1,6,Broker,1,8,Compact,35535,Black,14067,3734,1500,1002,23,13,Y
CLM1008,61,F,1,87,44538,1,0,Own,80592,2023-09-05,Tuesday,Parking Lot,5,1,2,Broker,0,0,Compact,11910,Black,46453,16114,1000,892,79,9,Y
CLM1009,68,F,0,64,70015,1,1,Rent,64268,2022-04-06,Wednesday,Parking Lot,3,1,93,Online,0,4,Medium,76910,White,2678,1279,1500,1559,13,6,N
CLM1010,45,F,0,67,129225,1,1,Own,74044,2023-07-28,Friday,Local,0,0,5,Online,1,11,Medium,74163,Black,26939,14716,500,1854,92,8,N
CLM1011,18,F,0,28,81373,0,1,Own,16776,2023-09-20,Wednesday,Parking Lot,4,0,2,Online,1,6,Large,63053,White,22959,8426,500,817,37,0,Y
CLM1012,61,F,1,25,54766,0,0,Own,83530,2023-01-09,Monday,Parking Lot,0,0,51,Broker,1,0,Compact,56005,Blue,47576,10797,1000,1791,39,1,N
CLM1013,73,M,1,82,135386,0,1,Rent,36736,2022-01-02,Sunday,Highway,1,0,91,Online,1,5,Large,5854,Silver,25548,6962,2000,2932,19,13,Y
CLM1014,61,F,0,91,124095,0,0,Own,36309,2023-02-20,Monday,Local,3,0,54,Online,0,10,Medium,17688,Black,26342,13212,500,697,86,10,N
CLM1015,33,M,0,98,113384,0,0,Own,52107,2022-07-06,Wednesday,Local,5,0,79,Online,0,12,Large,54811,Red,3811,1672,1000,2950,90,2,N
CLM1016,37,M,1,97,87270,0,1,Rent,93763,2023-05-04,Thursday,Highway,0,0,39,Broker,1,6,Large,16111,Red,38504,16858,2000,2469,23,13,N
CLM1017,24,F,0,17,116601,0,0,Rent,26371,2023-07-26,Wednesday,Parking Lot,0,1,1,Broker,0,0,Compact,25932,Black,30855,12852,2000,2556,99,2,N
CLM1018,20,M,1,21,26295,0,1,Rent,69040,2023-09-20,Wednesday,Highway,2,0,71,Phone,0,3,Compact,58351,Blue,49354,14122,500,1996,99,8,Y
CLM1019,83,M,0,55,146114,0,1,Rent,71135,2023-11-12,Sunday,Local,3,0,32,Phone,0,3,Compact,28328,Red,26876,5090,500,2027,8,6,N
CLM1020,50,F,1,49,90091,1,1,Rent,50818,2023-04-15,Saturday,Parking Lot,5,1,29,Broker,0,5,Large,52333,Black,4436,1523,500,2299,27,10,N
CLM1021,47,M,1,98,149307,0,0,Rent,49790,2023-04-26,Wednesday,Parking Lot,4,0,60,Broker,0,2,Compact,61835,White,38410,18601,500,516,44,11,Y
CLM1022,63,M,1,7,67202,0,0,Own,42635,2022-02-06,Sunday,Parking Lot,4,0,45,Phone,1,4,Large,71235,Black,1190,300,1500,2506,33,2,Y
CLM1023,42,M,1,96,43093,1,0,Rent,76105,2022-11-19,Saturday,Local,5,1,23,Broker,0,1,Large,77991,Blue,5014,2983,500,654,2,9,N
CLM1024,50,M,0,10,98069,1,0,Rent,64748,2023-11-13,Monday,Highway,1,0,98,Phone,1,1,Compact,34592,Red,11647,6482,1500,2029,7,8,N
CLM1025,37,M,1,66,97575,0,0,Rent,16655,2023-02-04,Saturday,Highway,5,0,75,Online,0,2,Large,60766,Silver,14403,5608,1000,2323,87,5,N
CLM1026,75,F,0,64,146141,1,1,Rent,60300,2022-05-30,Monday,Highway,1,0,57,Online,1,5,Large,36024,White,43675,5215,500,1577,60,4,N
CLM1027,70,F,0,61,23051,1,0,Rent,58747,2022-01-05,Wednesday,Parking Lot,3,1,5,Online,0,12,Compact,63335,White,33093,12254,1000,768,30,2,N
CLM1028,80,M,1,20,48251,0,1,Own,35945,2023-04-19,Wednesday,Highway,4,1,61,Phone,0,6,Large,6150,Black,24944,11081,1000,2164,58,9,Y
CLM1029,51,M,1,97,27805,1,0,Own,15237,2023-07-14,Friday,Highway,0,0,0,Phone,0,12,Compact,58222,Silver,30375,11456,2000,2794,67,11,N
CLM1030,68,M,1,87,104664,0,0,Rent,71389,2022-08-08,Monday,Highway,4,1,46,Broker,0,0,Large,56293,Silver,31445,18544,1500,952,76,9,N
CLM1031,56,M,0,34,76573,0,0,Rent,69101,2022-12-23,Friday,Local,1,1,9,Broker,1,5,Large,73385,Blue,41158,4430,2000,2989,96,0,N
CLM1032,21,F,0,17,71991,0,1,Own,67679,2022-09-15,Thursday,Parking Lot,0,1,91,Broker,0,10,Medium,71387,Red,19071,8364,1500,2927,33,0,N
CLM1033,60,F,1,13,126306,0,1,Own,48304,2022-06-17,Friday,Local,1,0,42,Online,1,11,Compact,25764,Blue,44404,9204,1000,1253,35,6,Y
CLM1034,25,F,1,94,134585,0,1,Rent,25305,2023-08-25,Friday,Parking Lot,5,0,33,Online,1,2,Medium,25358,Silver,4267,1904,2000,2149,75,12,Y
CLM1035,38,F,1,37,64425,1,0,Own,48756,2023-04-02,Sunday,Local,2,1,48,Online,0,2,Medium,22955,Blue,38841,8739,1500,2643,24,6,N
CLM1036,54,F,0,13,56208,1,1,Own,30150,2023-06-09,Friday,Local,0,1,98,Phone,1,8,Large,60069,Black,47352,17385,2000,1095,89,5,N
CLM1037,36,M,0,50,99459,1,1,Own,26779,2023-03-21,Tuesday,Highway,0,1,18,Broker,0,11,Compact,74896,White,36270,20978,500,1350,16,4,N
CLM1038,29,M,1,26,117203,0,1,Rent,21130,2023-04-14,Friday,Parking Lot,3,0,52,Online,1,6,Large,71703,Red,28192,4418,1000,1565,58,6,N
CLM1039,22,M,0,36,58102,0,1,Own,84460,2022-08-23,Tuesday,Highway,2,1,17,Broker,0,14,Compact,77267,Red,49136,23622,1000,2042,46,12,Y
CLM1040,26,F,1,51,108858,1,1,Rent,29065,2022-07-13,Wednesday,Highway,4,1,28,Phone,1,4,Compact,59693,Silver,27962,10923,2000,1888,65,5,N
CLM1041,62,M,1,5,144707,1,0,Rent,45909,2022-09-09,Friday,Highway,2,1,60,Phone,1,11,Medium,31790,White,26289,14542,1000,538,67,12,Y
CLM1042,75,M,0,21,75771,1,0,Own,67799,2022-12-27,Tuesday,Highway,0,1,2,Phone,1,12,Medium,66629,Red,1504,432,2000,1323,33,5,N
CLM1043,75,M,0,45,131276,1,1,Own,32700,2022-05-29,Sunday,Parking Lot,5,1,84,Phone,0,10,Large,26732,Silver,26826,12010,2000,2594,49,13,Y
CLM1044,18,F,0,55,126357,1,0,Rent,78866,2023-10-18,Wednesday,Local,0,1,74,Broker,1,11,Large,15975,Red,12023,6554,1000,1167,8,9,Y
CLM1045,25,F,0,59,125787,0,1,Own,41921,2023-06-24,Saturday,Highway,3,1,100,Broker,1,8,Compact,9835,White,21159,6910,1500,1724,33,4,N
CLM1046,46,F,1,14,54349,0,1,Rent,55445,2023-08-17,Thursday,Local,2,1,68,Phone,1,14,Large,70545,White,20255,10903,2000,1376,5,6,N
CLM1047,82,M,0,19,28415,1,0,Own,72292,2022-10-09,Sunday,Parking Lot,0,0,85,Broker,0,10,Compact,77474,White,22168,11508,1000,2133,99,0,Y
CLM1048,72,M,0,7,32763,1,0,Own,28384,2023-12-10,Sunday,Local,4,1,2,Phone,0,4,Medium,28574,Blue,24524,11356,500,1213,74,2,Y
CLM1049,18,M,1,52,73932,0,0,Rent,27100,2023-03-22,Wednesday,Parking Lot,0,1,31,Phone,0,1,Compact,41187,Blue,48198,7556,1000,2701,34,5,N
CLM1050,67,M,1,13,62944,0,0,Rent,83963,2023-01-24,Tuesday,Parking Lot,5,1,93,Online,1,10,Compact,47808,Blue,23928,3996,1500,1752,85,13,N
CLM1051,68,M,1,39,85215,1,0,Rent,88587,2022-11-02,Wednesday,Local,1,1,81,Online,0,13,Large,30934,Black,24386,3548,1500,2517,52,8,N
CLM1052,47,F,1,52,63088,1,1,Rent,49811,2022-05-18,Wednesday,Highway,0,0,73,Phone,1,0,Compact,24963,Red,37932,22380,2000,2600,66,12,Y
CLM1053,60,F,0,76,136594,1,1,Own,16254,2023-10-25,Wednesday,Local,2,0,15,Phone,1,7,Large,63243,Silver,46415,20805,1500,780,67,2,N
CLM1054,49,M,0,51,48732,0,0,Rent,21314,2023-02-07,Tuesday,Local,4,0,4,Online,1,1,Medium,41668,Red,24061,3473,2000,2780,12,9,N
CLM1055,66,M,0,79,111865,1,0,Rent,91818,2022-03-14,Monday,Parking Lot,1,0,46,Phone,1,8,Large,48221,Blue,11478,4084,1500,606,63,12,Y
CLM1056,53,F,1,2,79399,1,1,Rent,89714,2022-09-10,Saturday,Local,3,1,78,Broker,0,14,Medium,5055,Black,46781,10200,1500,527,87,13,N
CLM1057,43,M,0,15,35034,0,0,Rent,15126,2022-01-03,Monday,Local,5,1,17,Broker,0,9,Large,39674,Black,36854,5617,1500,2154,28,9,N
