claim_number,age_of_driver,gender,marital_status,safety_rating,annual_income,high_education,address_change,property_status,zip_code,claim_date,claim_day_of_week,accident_site,past_num_of_claims,witness_present,liab_prct,channel,police_report,age_of_vehicle,vehicle_category,vehicle_price,vehicle_color,total_claim,injury_claim,policy deductible,annual premium,days open,form defects,fraud reported
CLM1000,69,M,0,94,123694.0,1,0,Own,86820,2023-09-07,Thursday,Highway,1,0,82,Online,0,6,Medium,42194.0,Red,22962.0,12240.0,500,630.0,22,4,N
CLM1001,47,M,0,39,87969.0,0,0,Own,15311,2022-10-04,Tuesday,Parking Lot,0,0,75,Online,1,9,Compact,33693.0,Red,7396.0,2336.0,1500,974.0,59,9,Y
CLM1002,77,M,0,81,79150.0,1,1,Rent,75725,2023-11-18,Saturday,Highway,5,0,50,Phone,0,11,Compact,61886.0,Red,2267.0,898.0,500,1146.0,21,8,Y
CLM1003,21,F,1,90,128859.0,1,0,Rent,83969,2022-12-12,Monday,Parking Lot,4,0,1,Phone,0,3,Medium,28483.0,Silver,49555.0,17224.0,1500,534.0,78,0,Y
CLM1004,21,M,0,3,86557.0,0,0,Rent,87189,2023-07-20,Thursday,Highway,1,0,3,Broker,1,5,Large,14692.0,Red,46758.0,24367.0,1500,2079.0,34,9,N
CLM1005,31,M,1,96,147791.0,1,0,Rent,21534,2023-04-01,Saturday,Parking Lot,5,0,86,Online,0,11,Medium,6016.0,Black,25253.0,6633.0,1000,837.0,53,7,N
CLM1006,77,F,1,42,58044.0,1,0,Rent,61214,2022-03-06,Sunday,Highway,0,0,70,Broker,1,8,Large,67592.0,Silver,3027.0,746.0,500,1662.0,81,7,N
CLM1007,50,M,1,6,23561.0,0,1,Rent,36854,2022-02-10,Thursday,Parking Lot,3,1,6,Broker,1,8,Compact,35535.0,Black,14067.0,3734.0,1500,1002.0,23,13,Y
CLM1008,61,F,1,87,44538.0,1,0,Own,80592,2023-09-05,Tuesday,Parking Lot,5,1,2,Broker,0,0,Compact,11910.0,Black,46453.0,16114.0,1000,892.0,79,9,Y
CLM1009,68,F,0,64,70015.0,1,1,Rent,64268,2022-04-06,Wednesday,Parking Lot,3,1,93,Online,0,4,Medium,76910.0,White,2678.0,1279.0,1500,1559.0,13,6,N
CLM1010,45,F,0,67,129225.0,1,1,Own,74044,2023-07-28,Friday,Local,0,0,5,Online,1,11,Medium,74163.0,Black,26939.0,14716.0,500,1854.0,92,8,N
CLM1011,18,F,0,28,81373.0,0,1,Own,16776,2023-09-20,Wednesday,Parking Lot,4,0,2,Online,1,6,Large,63053.0,White,22959.0,8426.0,500,817.0,37,0,Y
CLM1012,61,F,1,25,54766.0,0,0,Own,83530,2023-01-09,Monday,Parking Lot,0,0,51,Broker,1,0,Compact,56005.0,Blue,47576.0,10797.0,1000,1791.0,39,1,N
CLM1013,73,M,1,82,135386.0,0,1,Rent,36736,2022-01-02,Sunday,Highway,1,0,91,Online,1,5,Large,5854.0,Silver,25548.0,6962.0,2000,2932.0,19,13,Y
CLM1014,61,F,0,91,124095.0,0,0,Own,36309,2023-02-20,Monday,Local,3,0,54,Online,0,10,Medium,17688.0,Black,26342.0,13212.0,500,697.0,86,10,N
CLM1015,33,M,0,98,113384.0,0,0,Own,52107,2022-07-06,Wednesday,Local,5,0,79,Online,0,12,Large,54811.0,Red,3811.0,1672.0,1000,2950.0,90,2,N
CLM1016,37,M,1,97,87270.0,0,1,Rent,93763,2023-05-04,Thursday,Highway,0,0,39,Broker,1,6,Large,16111.0,Red,38504.0,16858.0,2000,2469.0,23,13,N
CLM1017,24,F,0,17,116601.0,0,0,Rent,26371,2023-07-26,Wednesday,Parking Lot,0,1,1,Broker,0,0,Compact,25932.0,Black,30855.0,12852.0,2000,2556.0,99,2,N
CLM1018,20,M,1,21,26295.0,0,1,Rent,69040,2023-09-20,Wednesday,Highway,2,0,71,Phone,0,3,Compact,58351.0,Blue,49354.0,14122.0,500,1996.0,99,8,Y
CLM1019,83,M,0,55,146114.0,0,1,Rent,71135,2023-11-12,Sunday,Local,3,0,32,Phone,0,3,Compact,28328.0,Red,26876.0,5090.0,500,2027.0,8,6,N
CLM1020,50,F,1,49,90091.0,1,1,Rent,50818,2023-04-15,Saturday,Parking Lot,5,1,29,Broker,0,5,Large,52333.0,Black,4436.0,1523.0,500,2299.0,27,10,N
CLM1021,47,M,1,98,149307.0,0,0,Rent,49790,2023-04-26,Wednesday,Parking Lot,4,0,60,Broker,0,2,Compact,61835.0,White,38410.0,18601.0,500,516.0,44,11,Y
CLM1022,63,M,1,7,67202.0,0,0,Own,42635,2022-02-06,Sunday,Parking Lot,4,0,45,Phone,1,4,Large,71235.0,Black,1190.0,300.0,1500,2506.0,33,2,Y
CLM1023,42,M,1,96,43093.0,1,0,Rent,76105,2022-11-19,Saturday,Local,5,1,23,Broker,0,1,Large,77991.0,Blue,5014.0,2983.0,500,654.0,2,9,N
CLM1024,50,M,0,10,98069.0,1,0,Rent,64748,2023-11-13,Monday,Highway,1,0,98,Phone,1,1,Compact,34592.0,Red,11647.0,6482.0,1500,2029.0,7,8,N
CLM1025,37,M,1,66,97575.0,0,0,Rent,16655,2023-02-04,Saturday,Highway,5,0,75,Online,0,2,Large,60766.0,Silver,14403.0,5608.0,1000,2323.0,87,5,N
CLM1026,75,F,0,64,146141.0,1,1,Rent,60300,2022-05-30,Monday,Highway,1,0,57,Online,1,5,Large,36024.0,White,43675.0,5215.0,500,1577.0,60,4,N
CLM1027,70,F,0,61,23051.0,1,0,Rent,58747,2022-01-05,Wednesday,Parking Lot,3,1,5,Online,0,12,Compact,63335.0,White,33093.0,12254.0,1000,768.0,30,2,N
CLM1028,80,M,1,20,48251.0,0,1,Own,35945,2023-04-19,Wednesday,Highway,4,1,61,Phone,0,6,Large,6150.0,Black,24944.0,11081.0,1000,2164.0,58,9,Y
CLM1029,51,M,1,97,27805.0,1,0,Own,15237,2023-07-14,Friday,Highway,0,0,0,Phone,0,12,Compact,58222.0,Silver,30375.0,11456.0,2000,2794.0,67,11,N
CLM1030,68,M,1,87,104664.0,0,0,Rent,71389,2022-08-08,Monday,Highway,4,1,46,Broker,0,0,Large,56293.0,Silver,31445.0,18544.0,1500,952.0,76,9,N
CLM1031,56,M,0,34,76573.0,0,0,Rent,69101,2022-12-23,Friday,Local,1,1,9,Broker,1,5,Large,73385.0,Blue,41158.0,4430.0,2000,2989.0,96,0,N
CLM1032,21,F,0,17,71991.0,0,1,Own,67679,2022-09-15,Thursday,Parking Lot,0,1,91,Broker,0,10,Medium,71387.0,Red,19071.0,8364.0,1500,2927.0,33,0,N
CLM1033,60,F,1,13,126306.0,0,1,Own,48304,2022-06-17,Friday,Local,1,0,42,Online,1,11,Compact,25764.0,Blue,44404.0,9204.0,1000,1253.0,35,6,Y
CLM1034,25,F,1,94,134585.0,0,1,Rent,25305,2023-08-25,Friday,Parking Lot,5,0,33,Online,1,2,Medium,25358.0,Silver,4267.0,1904.0,2000,2149.0,75,12,Y
CLM1035,38,F,1,37,64425.0,1,0,Own,48756,2023-04-02,Sunday,Local,2,1,48,Online,0,2,Medium,22955.0,Blue,38841.0,8739.0,1500,2643.0,24,6,N
CLM1036,54,F,0,13,56208.0,1,1,Own,30150,2023-06-09,Friday,Local,0,1,98,Phone,1,8,Large,60069.0,Black,47352.0,17385.0,2000,1095.0,89,5,N
CLM1037,36,M,0,50,99459.0,1,1,Own,26779,2023-03-21,Tuesday,Highway,0,1,18,Broker,0,11,Compact,74896.0,White,36270.0,20978.0,500,1350.0,16,4,N
CLM1038,29,M,1,26,117203.0,0,1,Rent,21130,2023-04-14,Friday,Parking Lot,3,0,52,Online,1,6,Large,71703.0,Red,28192.0,4418.0,1000,1565.0,58,6,N
CLM1039,22,M,0,36,58102.0,0,1,Own,84460,2022-08-23,Tuesday,Highway,2,1,17,Broker,0,14,Compact,77267.0,Red,49136.0,23622.0,1000,2042.0,46,12,Y
CLM1040,26,F,1,51,108858.0,1,1,Rent,29065,2022-07-13,Wednesday,Highway,4,1,28,Phone,1,4,Compact,59693.0,Silver,27962.0,10923.0,2000,1888.0,65,5,N
CLM1041,62,M,1,5,144707.0,1,0,Rent,45909,2022-09-09,Friday,Highway,2,1,60,Phone,1,11,Medium,31790.0,White,26289.0,14542.0,1000,538.0,67,12,Y
CLM1042,75,M,0,21,75771.0,1,0,Own,67799,2022-12-27,Tuesday,Highway,0,1,2,Phone,1,12,Medium,66629.0,Red,1504.0,432.0,2000,1323.0,33,5,N
CLM1043,75,M,0,45,131276.0,1,1,Own,32700,2022-05-29,Sunday,Parking Lot,5,1,84,Phone,0,10,Large,26732.0,Silver,26826.0,12010.0,2000,2594.0,49,13,Y
CLM1044,18,F,0,55,126357.0,1,0,Rent,78866,2023-10-18,Wednesday,Local,0,1,74,Broker,1,11,Large,15975.0,Red,12023.0,6554.0,1000,1167.0,8,9,Y
CLM1045,25,F,0,59,125787.0,0,1,Own,41921,2023-06-24,Saturday,Highway,3,1,100,Broker,1,8,Compact,9835.0,White,21159.0,6910.0,1500,1724.0,33,4,N
CLM1046,46,F,1,14,54349.0,0,1,Rent,55445,2023-08-17,Thursday,Local,2,1,68,Phone,1,14,Large,70545.0,White,20255.0,10903.0,2000,1376.0,5,6,N
CLM1047,82,M,0,19,28415.0,1,0,Own,72292,2022-10-09,Sunday,Parking Lot,0,0,85,Broker,0,10,Compact,77474.0,White,22168.0,11508.0,1000,2133.0,99,0,Y
CLM1048,72,M,0,7,32763.0,1,0,Own,28384,2023-12-10,Sunday,Local,4,1,2,Phone,0,4,Medium,28574.0,Blue,24524.0,11356.0,500,1213.0,74,2,Y
CLM1049,18,M,1,52,73932.0,0,0,Rent,27100,2023-03-22,Wednesday,Parking Lot,0,1,31,Phone,0,1,Compact,41187.0,Blue,48198.0,7556.0,1000,2701.0,34,5,N
CLM1050,67,M,1,13,62944.0,0,0,Rent,83963,2023-01-24,Tuesday,Parking Lot,5,1,93,Online,1,10,Compact,47808.0,Blue,23928.0,3996.0,1500,1752.0,85,13,N
CLM1051,68,M,1,39,85215.0,1,0,Rent,88587,2022-11-02,Wednesday,Local,1,1,81,Online,0,13,Large,30934.0,Black,24386.0,3548.0,1500,2517.0,52,8,N
CLM1052,47,F,1,52,63088.0,1,1,Rent,49811,2022-05-18,Wednesday,Highway,0,0,73,Phone,1,0,Compact,24963.0,Red,37932.0,22380.0,2000,2600.0,66,12,Y
